구분,,01월 02일,01월 03일,01월 04일,01월 05일,01월 08일,01월 09일,01월 10일,01월 11일,01월 12일,01월 15일,01월 16일,01월 17일,01월 18일,01월 19일,01월 22일,01월 23일,01월 24일,01월 25일,01월 26일,01월 29일,01월 30일,01월 31일,02월 01일,02월 02일,02월 05일,02월 06일,02월 07일,02월 08일,02월 13일,02월 14일,02월 15일,02월 16일,02월 19일,02월 20일,02월 21일,02월 22일,02월 23일,02월 26일,02월 27일,02월 28일,02월 29일,03월 04일,03월 05일,03월 06일,03월 07일,03월 08일,03월 11일,03월 12일,03월 13일,03월 14일,03월 15일,03월 18일,03월 19일,03월 20일,03월 21일,03월 22일,03월 25일,03월 26일,03월 27일,03월 28일,03월 29일
평균,,"2,222","2,226","2,226","2,226","2,236","2,272","2,287","2,309","2,309","2,309","2,309","2,326","2,326","2,328","2,328","2,328","2,328","2,328","2,328","2,332","2,332","2,332","2,335","2,312","2,312","2,318","2,318","2,333","2,319","2,319","2,319","2,319","2,319","2,329","2,329","2,331","2,331","2,331","2,320","2,320","2,320","2,309","2,301","2,301","2,308","2,324","2,333","2,320","2,316","2,316","2,332","2,339","2,379","2,429","2,438","2,474","2,534","2,567","2,553","2,538","2,524"
평년,,"1,994","1,994","1,995","1,995","2,007","2,011","2,016","2,018","2,021","2,047","2,053","2,057","2,060","2,064","2,080","2,084","2,084","2,084","2,083","2,081","2,081","2,081","2,081","2,082","2,083","2,084","2,087","2,086","2,067","2,071","2,071","2,070","2,112","2,118","2,123","2,126","2,126","2,152","2,179","2,211","2,230","2,306","2,323","2,331","2,342","2,349","2,349","2,346","2,346","2,347","2,347","2,332","2,328","2,325","2,322","2,321","2,301","2,296","2,290","2,283","2,280"
서울,경동,"2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,730","2,950","2,950","2,950","2,950","2,950"
,복조리,"2,310","2,310","2,310","2,310","2,310","2,310","2,310","2,670","2,670","2,670","2,670","2,670","2,670","2,670","2,670","2,670","2,670","2,670","2,670","2,670","2,670","2,670","2,670","2,300","2,300","2,300","2,300","2,300","2,300","2,300","2,300","2,300","2,300","2,300","2,300","2,300","2,300","2,300","2,300","2,300","2,300","2,300","2,170","2,170","2,110","2,110","2,110","2,110","2,110","2,110","2,110","2,110","2,570","2,970","2,970","3,000","3,120","3,120","2,900","2,650","2,520"
부산,부전,"1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","1,910","2,050","2,050","2,050","2,050","2,050","2,050","2,050","2,050","2,050","2,050","2,050","2,050","2,050","2,050","2,050"
대구,칠성,"1,930","1,930","1,930","1,930","1,930","1,930","2,100","2,100","2,100","2,100","2,100","2,100","2,100","2,100","2,100","2,100","2,100","2,100","2,100","2,100","2,100","2,100","2,100","2,100","2,100","2,100","2,100","2,100","2,100","2,100","2,100","2,100","2,100","2,260","2,260","2,260","2,260","2,260","2,260","2,260","2,260","2,260","2,260","2,260","2,260","2,260","2,260","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,160","2,160","2,160","2,160","2,160","2,160"
인천,현대,"2,170","2,170","2,170","2,170","2,170","2,280","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,620","2,620","2,620","2,620","2,620"
광주,양동,"2,300","2,360","2,360","2,360","2,360","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,700","2,700","2,700","2,700","2,700"
대전,역전,"2,120","2,120","2,120","2,120","2,120","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,500","2,500","2,500","2,500","2,500","2,750","2,870","2,870","2,870","2,870","2,870","3,000","3,000","3,000","3,000","3,000"
울산,신정,"2,260","2,260","2,260","2,260","2,260","2,260","2,260","2,260","2,260","2,260","2,260","2,260","2,260","2,300","2,300","2,300","2,300","2,300","2,300","2,360","2,360","2,360","2,360","2,360","2,360","2,360","2,360","2,430","2,430","2,430","2,430","2,430","2,430","2,430","2,430","2,460","2,460","2,460","2,460","2,460","2,460","2,460","2,460","2,460","2,430","2,430","2,430","2,430","2,430","2,430","2,430","2,430","2,430","2,430","2,560","2,560","2,600","2,600","2,600","2,600","2,600"
수원,지동,"2,590","2,590","2,590","2,590","2,590","2,630","2,530","2,530","2,530","2,530","2,530","2,530","2,530","2,530","2,530","2,530","2,530","2,530","2,530","2,530","2,530","2,530","2,580","2,580","2,580","2,580","2,580","2,580","2,360","2,360","2,360","2,360","2,360","2,360","2,360","2,360","2,360","2,360","2,320","2,320","2,320","2,320","2,320","2,320","2,320","2,320","2,320","2,320","2,320","2,320","2,320","2,320","2,320","2,320","2,320","2,320","2,320","2,890","2,890","2,890","2,890"
춘천,중앙,"2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,730","2,730","2,840","2,840","2,630","2,630","2,630","2,550"
청주,육거리,"2,250","2,250","2,250","2,250","2,250","2,330","2,410","2,410","2,410","2,410","2,410","2,410","2,410","2,410","2,410","2,410","2,410","2,410","2,410","2,410","2,410","2,410","2,410","2,410","2,410","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,660","2,660","2,660","2,660","2,660","2,660","2,660","2,660","2,660","2,660","2,660","2,660","2,660","2,830","2,830","2,830","2,830"
전주,남부,"1,930","1,930","1,930","1,930","1,930","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","1,930","1,930","1,930","1,930","1,930","1,930","1,930","1,930","2,100","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160"
순천,역전,"2,300","2,300","2,300","2,300","2,300","2,300","2,300","2,300","2,300","2,300","2,300","2,460","2,460","2,460","2,460","2,460","2,460","2,460","2,460","2,460","2,460","2,460","2,460","2,460","2,460","2,460","2,460","2,460","2,460","2,460","2,460","2,460","2,460","2,460","2,460","2,460","2,460","2,460","2,330","2,330","2,330","2,330","2,330","2,330","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440","2,440"
포항,죽도,"2,160","2,160","2,160","2,160","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330"
창원,상남,"2,270","2,270","2,270","2,270","2,270","2,270","2,270","2,270","2,270","2,270","2,270","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,370","2,430","2,370","2,370","2,370","2,370","2,370","2,430","2,430","2,430","2,430","2,430","2,430","2,430","2,430"
제주,동문,"2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,330","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160","2,160"
